time	V(n004)
Step Information: Wyp=100m  (Run: 1/9)
0.000000000000000e+000	-7.563530e-001
1.500000053056283e-007	-7.563530e-001
3.000000106112566e-007	-7.563517e-001
6.000000212225132e-007	-7.563411e-001
8.302380663261004e-007	-7.563187e-001
1.124859392575930e-006	-7.562715e-001
4.866550235948766e-006	-7.524169e-001
1.142488888281219e-005	-7.358068e-001
1.237345331833523e-005	-7.321129e-001
1.252383407180639e-005	-7.314968e-001
1.268424020884228e-005	-7.308304e-001
1.300505248291408e-005	-7.294868e-001
1.300601588179689e-005	-7.294827e-001
1.350293702581469e-005	-7.273837e-001
3.875169639907109e-005	-6.217733e-001
6.400662152553220e-005	-5.185762e-001
9.106308000562449e-005	-4.111758e-001
1.124859392575930e-004	-3.306531e-001
1.125984251968506e-004	-3.302422e-001
1.128233970753658e-004	-3.294186e-001
1.131608548931386e-004	-3.281691e-001
1.136107986501689e-004	-3.264779e-001
1.164454443194602e-004	-3.138734e-001
1.204499437570305e-004	-2.921488e-001
1.248593925759282e-004	-2.621495e-001
1.249628796400452e-004	-2.613603e-001
1.251698537682793e-004	-2.597739e-001
1.255838020247473e-004	-2.565847e-001
1.255900590551185e-004	-2.565364e-001
1.259897889722073e-004	-2.534401e-001
1.373240356369810e-004	-1.667113e-001
1.486638193054990e-004	-8.232947e-002
1.713433866425352e-004	8.014854e-002
1.967998629077619e-004	2.551486e-001
2.136727537964008e-004	3.615004e-001
2.249718785151860e-004	4.287868e-001
2.250843644544436e-004	4.294395e-001
2.253093363329588e-004	4.307460e-001
2.256467941507316e-004	4.327184e-001
2.260967379077619e-004	4.353716e-001
2.318110236220476e-004	4.749861e-001
2.373453318335212e-004	5.226368e-001
2.374488188976382e-004	5.236269e-001
2.376557930258722e-004	5.256147e-001
2.380697412823402e-004	5.296054e-001
2.380759983127114e-004	5.296659e-001
2.384751968503941e-004	5.335279e-001
2.487167041619783e-004	6.305701e-001
2.589682227221565e-004	7.234622e-001
2.794712598425127e-004	8.973929e-001
3.121427130202406e-004	1.153454e+000
3.352080989876271e-004	1.303813e+000
3.374578177727790e-004	1.317215e+000
3.375703037120366e-004	1.317878e+000
3.377952755905518e-004	1.319204e+000
3.381327334083246e-004	1.321205e+000
3.385826771653550e-004	1.323893e+000
3.476715410573690e-004	1.391362e+000
3.498312710911142e-004	1.410746e+000
3.499347581552312e-004	1.411721e+000
3.501417322834650e-004	1.413678e+000
3.505556805399327e-004	1.417605e+000
3.505619375703039e-004	1.417664e+000
3.509611361079859e-004	1.421461e+000
3.714541619747769e-004	1.602967e+000
3.919571990901594e-004	1.759701e+000
4.246286522678873e-004	1.977880e+000
4.499437570303720e-004	2.097126e+000
4.500562429696296e-004	2.097566e+000
4.502812148481448e-004	2.098447e+000
4.506186726659176e-004	2.099777e+000
4.510686164229480e-004	2.101570e+000
4.623172103487072e-004	2.164925e+000
4.624206974128242e-004	2.165674e+000
4.626276715410580e-004	2.167178e+000
4.630416197975257e-004	2.170199e+000
4.630478768278969e-004	2.170245e+000
4.634470753655789e-004	2.173165e+000
4.839401012323699e-004	2.305499e+000
5.044431383477523e-004	2.406279e+000
5.371145915254801e-004	2.527614e+000
5.624296962879650e-004	2.561615e+000
5.625421822272227e-004	2.561662e+000
5.627671541057379e-004	2.561755e+000
5.631046119235106e-004	2.561896e+000
5.631617776529131e-004	2.561921e+000
5.635545556805409e-004	2.562118e+000
5.748031496063003e-004	2.585393e+000
5.749156355455579e-004	2.585801e+000
5.751406074240731e-004	2.586622e+000
5.754780652418458e-004	2.587864e+000
5.754789440382463e-004	2.587867e+000
5.759322272216729e-004	2.589539e+000
5.989637236924209e-004	2.649667e+000
6.220008444602313e-004	2.674732e+000
6.350300940925956e-004	2.676285e+000
6.396095940134492e-004	2.673107e+000
6.428061777793713e-004	2.669584e+000
6.440965522869482e-004	2.667924e+000
6.450964964978825e-004	2.666530e+000
6.454704736209738e-004	2.665989e+000
6.457810253098601e-004	2.665529e+000
6.458866051216523e-004	2.665371e+000
6.459769818182247e-004	2.665235e+000
6.460060759549782e-004	2.665191e+000
6.460309568298372e-004	2.665154e+000
6.460388902905570e-004	2.665142e+000
6.460456214409315e-004	2.665131e+000
6.460477892152656e-004	2.665128e+000
6.460496056872351e-004	2.665125e+000
6.460502066321544e-004	2.665124e+000
6.460506921484550e-004	2.665124e+000
6.460508660765044e-004	2.665123e+000
6.460509937619924e-004	2.665123e+000
6.460510490355588e-004	2.665123e+000
6.460510843110702e-004	2.665123e+000
6.460511036178163e-004	2.665123e+000
6.460511233075070e-004	2.665123e+000
6.460511438224986e-004	2.665123e+000
6.460511638678528e-004	2.665123e+000
6.460511841149369e-004	2.665123e+000
6.749156355455580e-004	2.621389e+000
6.754756519642729e-004	2.620540e+000
6.754778147320615e-004	2.620537e+000
6.754784515672774e-004	2.620536e+000
6.754789783976812e-004	2.620535e+000
6.760404949381339e-004	2.619727e+000
6.872890888638932e-004	2.621335e+000
6.875499078338500e-004	2.621777e+000
6.878281147351371e-004	2.622264e+000
6.878575344538948e-004	2.622316e+000
6.878576493746712e-004	2.622317e+000
6.884192107620171e-004	2.623314e+000
7.027823425710203e-004	2.639040e+000
7.171524910540875e-004	2.641884e+000
7.227732497946624e-004	2.639390e+000
7.305712121239206e-004	2.631788e+000
7.318115270418291e-004	2.630233e+000
7.325213640943285e-004	2.629215e+000
7.327460728566838e-004	2.628883e+000
7.328962386437111e-004	2.628658e+000
7.329571271297161e-004	2.628567e+000
7.330031909785303e-004	2.628497e+000
7.330209164548400e-004	2.628470e+000
7.330353886419064e-004	2.628448e+000
7.330404455200748e-004	2.628441e+000
7.330447288244592e-004	2.628434e+000
7.330461417691591e-004	2.628432e+000
7.330473246593610e-004	2.628430e+000
7.330477216504547e-004	2.628430e+000
7.330480356670650e-004	2.628429e+000
7.330481534943337e-004	2.628429e+000
7.330482360240227e-004	2.628429e+000
7.330482748113178e-004	2.628429e+000
7.330482988327199e-004	2.628429e+000
7.330483164956983e-004	2.628429e+000
7.330483387085281e-004	2.628429e+000
7.330483518982981e-004	2.628429e+000
7.330483726533817e-004	2.628429e+000
7.330484018350962e-004	2.628429e+000
7.874015748031510e-004	2.546076e+000
7.879615912215365e-004	2.545227e+000
7.879637539893301e-004	2.545224e+000
7.879643908245532e-004	2.545223e+000
7.879649176549665e-004	2.545222e+000
7.885264341957269e-004	2.544414e+000
7.997750281214862e-004	2.546135e+000
8.000346104341820e-004	2.546580e+000
8.003114982343908e-004	2.547071e+000
8.003461119136445e-004	2.547133e+000
8.003462471233291e-004	2.547133e+000
8.008998875140621e-004	2.548128e+000
8.190764321998239e-004	2.565564e+000
8.372618564872885e-004	2.563884e+000
8.411987761017296e-004	2.561090e+000
8.444243546610633e-004	2.557285e+000
8.453922646514686e-004	2.555990e+000
8.461714174976701e-004	2.554876e+000
8.464322665128795e-004	2.554493e+000
8.466505727669324e-004	2.554168e+000
